Atom,Element,Coordination,bond ri (Å),angle θ0 (deg),distance,energy,scale ζ,charge Zi,Source,,Vi,Uj,Xi,Hardness,Radius
Xe4+4,Xe,4,1.267,90,4.404,0.332,12,0.556,UFF,,0,0.2,7.595,4.975,2.459
Y_3+3,Y,4,1.698,109.47,3.345,0.072,12,3.257,UFF,,0,0.2,3.83,2.81,1.998
Y_6f3,Y,6,1.6,90,3.345,0.072,12,3.257,UFF4MOF2,,,,,,
Y_8f4,Y,8,1.68,109.47,3.345,0.072,12,3.257,UFF4MOF2,,,,,,
Yb6+3,Yb,6,1.637,90,3.355,0.228,12,2.618,UFF,,0,0.1,3.2889,2.965,2.158
Yb6f3,Yb,6,1.45,90,3.355,0.228,12,2.618,UFF4MOF2,,,,,,
Yb8f4,Yb,8,1.62,109.47,3.355,0.228,12,2.618,UFF4MOF2,,,,,,
Zn1f1,Zn,2,1.3,180,2.763,0.124,12,1.308,UFF4MOF2,,,,,,
Zn2f2,Zn,3,1.3,120,2.763,0.124,12,1.308,UFF4MOF2,,,,,,
Zn3+2,Zn,4,1.193,109.47,2.763,0.124,12,1.308,UFF,,0,0.7,5.106,4.285,1.4
Zn3f2,Zn,4,1.24,109.47,2.763,0.124,12,1.308,UFF4MOF,,,,,,
Zn4+2,Zn,4,1.34,90,2.763,0.124,12,1.308,UFF4MOF,,,,,,
Zr3+4,Zr,4,1.564,109.47,3.124,0.069,12,3.667,UFF,,0,0.2,3.4,3.55,1.758
Zr6f3,Zr,6,1.25,90,3.124,0.069,12,3.667,UFF4MOF2,,,,,,
Zr8f4,Zr,8,1.68,109.47,3.124,0.069,12,3.667,UFF4MOF2,,,,,,
